"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/LBR","LR","Liberia","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",29.9,"Neonatal mortality rate [under 1 month old]"
"country/LBY","LY","Libya","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",5.5,"Neonatal mortality rate [under 1 month old]"
"country/LSO","LS","Lesotho","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",35.3,"Neonatal mortality rate [under 1 month old]"
"country/MAR","MA","Morocco","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",10.6,"Neonatal mortality rate [under 1 month old]"
"country/MDG","MG","Madagascar","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",24,"Neonatal mortality rate [under 1 month old]"
"country/MLI","ML","Mali","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",32.7,"Neonatal mortality rate [under 1 month old]"
"country/MOZ","MZ","Mozambique","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",25.7,"Neonatal mortality rate [under 1 month old]"
"country/MRT","MR","Mauritania","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",22,"Neonatal mortality rate [under 1 month old]"
"country/MUS","MU","Mauritius","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",9.5,"Neonatal mortality rate [under 1 month old]"
"country/MWI","MW","Malawi","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",18.7,"Neonatal mortality rate [under 1 month old]"
"country/NAM","NA","Namibia","sdg/SH_DYN_NMRT.AGE--M0","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",18.7,"Neonatal mortality rate [under 1 month old]"
