"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/GNQ","GQ","Equatorial Guinea","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",49.4,"Infant mortality rate [under 1 year old, Female]"
"country/KEN","KE","Kenya","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",27.1,"Infant mortality rate [under 1 year old, Female]"
"country/LBR","LR","Liberia","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",49.4,"Infant mortality rate [under 1 year old, Female]"
"country/LBY","LY","Libya","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",7.9,"Infant mortality rate [under 1 year old, Female]"
"country/LSO","LS","Lesotho","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",50.6,"Infant mortality rate [under 1 year old, Female]"
"country/MAR","MA","Morocco","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",13.2,"Infant mortality rate [under 1 year old, Female]"
"country/MDG","MG","Madagascar","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",40.3,"Infant mortality rate [under 1 year old, Female]"
"country/MLI","ML","Mali","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",54.8,"Infant mortality rate [under 1 year old, Female]"
"country/MOZ","MZ","Mozambique","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",44.8,"Infant mortality rate [under 1 year old, Female]"
"country/MRT","MR","Mauritania","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",28,"Infant mortality rate [under 1 year old, Female]"
"country/MUS","MU","Mauritius","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",12,"Infant mortality rate [under 1 year old, Female]"
"country/MWI","MW","Malawi","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",26.3,"Infant mortality rate [under 1 year old, Female]"
"country/NAM","NA","Namibia","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",25.5,"Infant mortality rate [under 1 year old, Female]"
"country/NER","NE","Niger","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",55.6,"Infant mortality rate [under 1 year old, Female]"
"country/NGA","NG","Nigeria","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",62.1,"Infant mortality rate [under 1 year old, Female]"
"country/RWA","RW","Rwanda","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",25.9,"Infant mortality rate [under 1 year old, Female]"
"country/SDN","SD","Sudan","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",32.6,"Infant mortality rate [under 1 year old, Female]"
"country/SEN","SN","Senegal","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",24.7,"Infant mortality rate [under 1 year old, Female]"
"country/SLE","SL","Sierra Leone","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",69.5,"Infant mortality rate [under 1 year old, Female]"
"country/SOM","SO","Somalia","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",62.1,"Infant mortality rate [under 1 year old, Female]"
"country/SSD","","South Sudan","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",58.2,"Infant mortality rate [under 1 year old, Female]"
"country/STP","ST","São Tomé and Príncipe","sdg/SH_DYN_IMRT.AGE--Y0__SEX--F","2022","UN_SDG","https://unstats.un.org/sdgs/dataportal","","SDG_PER_1000_LIVE_BIRTHS","Per 1,000 live births",10,"Infant mortality rate [under 1 year old, Female]"
