"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/MUS","MU","Mauritius","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",73.5146341463,"Life Expectancy"
"country/MWI","MW","Malawi","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",62.898,"Life Expectancy"
"country/NAM","NA","Namibia","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",58.059,"Life Expectancy"
"country/NER","NE","Niger","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",62.08,"Life Expectancy"
"country/NGA","NG","Nigeria","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",53.633,"Life Expectancy"
"country/RWA","RW","Rwanda","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",67.129,"Life Expectancy"
"country/SDN","SD","Sudan","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",65.578,"Life Expectancy"
"country/SEN","SN","Senegal","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",67.913,"Life Expectancy"
"country/SLE","SL","Sierra Leone","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",60.411,"Life Expectancy"
"country/SOM","SO","Somalia","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",56.107,"Life Expectancy"
"country/SSD","","South Sudan","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",55.567,"Life Expectancy"
"country/STP","ST","São Tomé and Príncipe","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",68.794,"Life Expectancy"
"country/SWZ","SZ","Eswatini","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",56.36,"Life Expectancy"
"country/SYC","SC","Seychelles","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",73.8487804878,"Life Expectancy"
"country/TCD","TD","Chad","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",52.997,"Life Expectancy"
"country/TGO","TG","Togo","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",61.588,"Life Expectancy"
"country/TUN","TN","Tunisia","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",74.263,"Life Expectancy"
"country/TZA","TZ","Tanzania","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",66.782,"Life Expectancy"
"country/UGA","UG","Uganda","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",63.638,"Life Expectancy"
"country/ZAF","ZA","South Africa","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",61.48,"Life Expectancy"
"country/ZMB","ZM","Zambia","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",61.803,"Life Expectancy"
"country/ZWE","ZW","Zimbabwe","LifeExpectancy_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",59.391,"Life Expectancy"
