"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/MAR","MA","Morocco","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",5.766,"Deaths Rate"
"country/MDG","MG","Madagascar","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",6.799,"Deaths Rate"
"country/MLI","ML","Mali","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",8.951,"Deaths Rate"
"country/MOZ","MZ","Mozambique","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",8.611,"Deaths Rate"
"country/MRT","MR","Mauritania","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",7.203,"Deaths Rate"
"country/MUS","MU","Mauritius","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",10.2,"Deaths Rate"
"country/MWI","MW","Malawi","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",6.934,"Deaths Rate"
"country/NAM","NA","Namibia","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",11.457,"Deaths Rate"
"country/NER","NE","Niger","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",7.834,"Deaths Rate"
"country/NGA","NG","Nigeria","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",12.431,"Deaths Rate"
"country/RWA","RW","Rwanda","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",5.847,"Deaths Rate"
"country/SDN","SD","Sudan","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",6.677,"Deaths Rate"
"country/SEN","SN","Senegal","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",5.548,"Deaths Rate"
"country/SLE","SL","Sierra Leone","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",8.909,"Deaths Rate"
"country/SOM","SO","Somalia","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",11.012,"Deaths Rate"
"country/SSD","","South Sudan","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",10.745,"Deaths Rate"
"country/STP","ST","São Tomé and Príncipe","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",5.838,"Deaths Rate"
"country/SWZ","SZ","Eswatini","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",11.883,"Deaths Rate"
"country/SYC","SC","Seychelles","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",7.8,"Deaths Rate"
"country/TCD","TD","Chad","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",12.157,"Deaths Rate"
"country/TGO","TG","Togo","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",8.213,"Deaths Rate"
"country/TUN","TN","Tunisia","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",7.601,"Deaths Rate"
"country/TZA","TZ","Tanzania","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",5.959,"Deaths Rate"
"country/UGA","UG","Uganda","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",5.579,"Deaths Rate"
"country/ZAF","ZA","South Africa","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",12.032,"Deaths Rate"
"country/ZMB","ZM","Zambia","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",6.716,"Deaths Rate"
"country/ZWE","ZW","Zimbabwe","Count_Death_AsAFractionOfCount_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",8.943,"Deaths Rate"
